id,start,start_id,end,end_id,lat,lng,route_id_id
147,Trikon baug,1038,Global Chowk,1075,22.205547,70.800407,105
148,AIIM Hospital,523,Madhapar Chowk (RMTS),219,22.3316,70.771301,86
149,Shapar Veraval,0,Santiniketan Avenue(Raiya Gaam),244,22.308201,70.751099,24
150,shree ram hospital(metoda),162,Ajidam,146,22.277901,70.835899,14
151,Saurashtra University,121,Trikon baug,21,22.295,70.801697,20
152,Lal bahadurshastri aavas,23,Kothariya Chowk,52,22.258301,70.816002,2
153,Santiniketan Avenue(Raiya Gaam),244,Shapar Veraval,0,22.1579,70.791496,25
154,Government Engineering College,517,Trikon baug,21,22.295,70.801697,84
155,Nandbhumi Tower,446,Vinod Nagar,408,22.257099,70.811798,60
156,ITI (Khirasara),1373,Greenland Chowk,1112,22.31159,70.828644,136
157,Greenland Chowk,56,Jivaraj Park (Vasant Vatika),455,22.2598,70.771797,63
158,Tramba Village,132,Saurashtra University,121,22.290501,70.743698,12
159,Akshar Vatika(Mavadi),460,Om Residency (Morbi road Crosing),481,22.327999,70.8162,64
160,Tramba Village,132,Trikon baug,21,22.295,70.801697,66
161,AIIM Hospital,1410,Shivdhara Residency,1449,22.31159,70.828644,142
162,Arpit eng. Collage (Hadala Gam),482,Saurashtra University,121,22.290501,70.743698,68
163,Trikon baug,21,Arpit eng. Collage (Hadala Gam),482,22.435499,70.781601,71
164,Saurashtra University,121,huseni chawk (kothariya),77,22.220501,70.804001,72
165,huseni chawk (kothariya),77,Saurashtra University,121,22.290501,70.743698,73
166,Greenland Chowk,1112,Tramba Village,1582,22.228109,70.910812,165
167,Ghanteshvar S.R.P. Camp (G company),229,Punit Nagar (jetco 66 k.v.a.),317,22.248899,70.794403,77
