route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
11UP,29,non_peak_1,7,7,480,69
11UP,29,non_peak_2,16,16,300,19
11UP,29,non_peak_3,4,4,180,45
11UP,29,peak_1,14,14,240,18
11UP,29,peak_2,13,13,240,19
120DOWN,73,non_peak_1,3,3,480,160
120DOWN,73,non_peak_2,21,21,300,15
120DOWN,73,non_peak_3,7,7,180,26
120DOWN,73,peak_1,17,17,240,15
120DOWN,73,peak_2,16,16,240,15
120UP,74,non_peak_1,8,8,480,60
120UP,74,non_peak_2,23,23,300,14
120UP,74,non_peak_3,5,5,180,36
120UP,74,peak_1,16,16,240,15
120UP,74,peak_2,12,12,240,20
121DOWN,75,non_peak_1,14,14,480,35
121DOWN,75,non_peak_2,24,24,300,13
121DOWN,75,non_peak_3,4,4,180,45
121DOWN,75,peak_1,20,20,240,12
121DOWN,75,peak_2,18,18,240,14
121UP,76,non_peak_1,9,9,480,54
121UP,76,non_peak_2,24,24,300,13
121UP,76,non_peak_3,6,6,180,30
121UP,76,peak_1,20,20,240,12
121UP,76,peak_2,21,21,240,12
122ADOWN,77,non_peak_1,4,4,480,120
122ADOWN,77,non_peak_2,10,10,300,30
122ADOWN,77,non_peak_3,5,5,180,36
122ADOWN,77,peak_1,8,8,240,30
122ADOWN,77,peak_2,8,8,240,30
122AUP,78,non_peak_2,6,6,300,50
122BDOWN,81,non_peak_1,1,1,480,480
122BDOWN,81,non_peak_3,5,5,180,36
122BUP,82,non_peak_1,6,6,480,80
122DOWN,79,non_peak_1,5,5,480,96
122DOWN,79,non_peak_2,10,10,300,30
122DOWN,79,peak_1,7,7,240,35
122DOWN,79,peak_2,8,8,240,30
122UP,80,non_peak_1,2,2,480,240
122UP,80,non_peak_2,3,3,300,100
122UP,80,non_peak_3,3,3,180,60
122UP,80,peak_1,8,8,240,30
122UP,80,peak_2,8,8,240,30
123DOWN,83,non_peak_1,9,9,480,54
123DOWN,83,non_peak_2,20,20,300,15
123DOWN,83,non_peak_3,4,4,180,45
123DOWN,83,peak_1,15,15,240,16
123DOWN,83,peak_2,12,12,240,20
123UP,84,non_peak_1,6,6,480,80
123UP,84,non_peak_2,17,17,300,18
123UP,84,non_peak_3,6,6,180,30
123UP,84,peak_1,16,16,240,15
123UP,84,peak_2,15,15,240,16
125ADOWN,85,non_peak_1,1,1,480,480
125ADOWN,85,non_peak_2,1,1,300,300
125ADOWN,85,peak_2,1,1,240,240
125AUP,86,non_peak_1,1,1,480,480
125AUP,86,non_peak_2,1,1,300,300
125AUP,86,peak_1,1,1,240,240
125BDOWN,87,non_peak_1,2,2,480,240
125BDOWN,87,non_peak_2,3,3,300,100
125BUP,88,non_peak_1,1,1,480,480
125BUP,88,non_peak_2,3,3,300,100
125BUP,88,non_peak_3,1,1,180,180
125BUP,88,peak_2,1,1,240,240
125DOWN,89,non_peak_1,1,1,480,480
125DOWN,89,non_peak_2,3,3,300,100
125DOWN,89,peak_1,8,8,240,30
125DOWN,89,peak_2,5,5,240,48
125UP,90,non_peak_1,3,3,480,160
125UP,90,non_peak_2,3,3,300,100
125UP,90,peak_1,7,7,240,35
125UP,90,peak_2,5,5,240,48
126BDOWN,91,non_peak_1,4,4,480,120
126BDOWN,91,non_peak_2,10,10,300,30
126BDOWN,91,non_peak_3,5,5,180,36
126BDOWN,91,peak_1,8,8,240,30
126BDOWN,91,peak_2,8,8,240,30
126BUP,92,non_peak_1,1,1,480,480
126CDOWN,93,non_peak_1,1,1,480,480
126DDOWN,95,non_peak_3,1,1,180,180
126DOWN,94,non_peak_1,4,4,480,120
126DOWN,94,non_peak_2,12,12,300,25
126DOWN,94,non_peak_3,3,3,180,60
126DOWN,94,peak_1,10,10,240,24
126DOWN,94,peak_2,8,8,240,30
126UP,96,non_peak_1,2,2,480,240
126UP,96,non_peak_2,12,12,300,25
126UP,96,non_peak_3,2,2,180,90
126UP,96,peak_1,10,10,240,24
126UP,96,peak_2,9,9,240,27
128UP,1009,non_peak_1,4,4,480,120
128UP,1009,non_peak_2,10,10,300,30
128UP,1009,non_peak_3,5,5,180,36
128UP,1009,peak_1,8,8,240,30
128UP,1009,peak_2,8,8,240,30
12DOWN,71,non_peak_1,3,3,480,160
12DOWN,71,non_peak_2,9,9,300,34
12DOWN,71,non_peak_3,4,4,180,45
12DOWN,71,peak_1,6,6,240,40
12DOWN,71,peak_2,6,6,240,40
12UP,72,non_peak_1,5,5,480,96
12UP,72,non_peak_2,8,8,300,38
12UP,72,non_peak_3,1,1,180,180
12UP,72,peak_1,7,7,240,35
12UP,72,peak_2,7,7,240,35
130ADOWN,99,non_peak_1,6,6,480,80
130ADOWN,99,non_peak_2,6,6,300,50
130AUP,100,non_peak_2,6,6,300,50
130AUP,100,non_peak_3,6,6,180,30
130DOWN,101,non_peak_1,5,5,480,96
130DOWN,101,non_peak_2,13,13,300,24
130DOWN,101,non_peak_3,6,6,180,30
130DOWN,101,peak_1,12,12,240,20
130DOWN,101,peak_2,12,12,240,20
130UP,102,non_peak_1,8,8,480,60
130UP,102,non_peak_2,14,14,300,22
130UP,102,non_peak_3,4,4,180,45
130UP,102,peak_1,11,11,240,22
130UP,102,peak_2,11,11,240,22
131DOWN,103,non_peak_1,1,1,480,480
131DOWN,103,non_peak_2,2,2,300,150
131DOWN,103,peak_1,1,1,240,240
131DOWN,103,peak_2,1,1,240,240
131UP,104,non_peak_1,1,1,480,480
131UP,104,non_peak_2,1,1,300,300
131UP,104,non_peak_3,1,1,180,180
131UP,104,peak_1,1,1,240,240
131UP,104,peak_2,1,1,240,240
132DOWN,105,non_peak_1,3,3,480,160
132DOWN,105,non_peak_2,11,11,300,28
132DOWN,105,non_peak_3,3,3,180,60
132DOWN,105,peak_1,11,11,240,22
132DOWN,105,peak_2,8,8,240,30
132UP,106,non_peak_1,6,6,480,80
132UP,106,non_peak_2,10,10,300,30
132UP,106,non_peak_3,2,2,180,90
132UP,106,peak_1,11,11,240,22
132UP,106,peak_2,7,7,240,35
133ADOWN,109,non_peak_1,4,4,480,120
133ADOWN,109,non_peak_2,13,13,300,24
133ADOWN,109,non_peak_3,6,6,180,30
133ADOWN,109,peak_1,13,13,240,19
133ADOWN,109,peak_2,12,12,240,20
133AUP,110,non_peak_1,7,7,480,69
133AUP,110,non_peak_2,14,14,300,22
133AUP,110,non_peak_3,3,3,180,60
133AUP,110,peak_1,13,13,240,19
133AUP,110,peak_2,11,11,240,22
133DOWN,107,non_peak_1,4,4,480,120
133DOWN,107,non_peak_2,10,10,300,30
133DOWN,107,non_peak_3,5,5,180,36
133DOWN,107,peak_1,10,10,240,24
133DOWN,107,peak_2,9,9,240,27
133UP,108,non_peak_1,7,7,480,69
133UP,108,non_peak_2,10,10,300,30
133UP,108,non_peak_3,3,3,180,60
133UP,108,peak_1,9,9,240,27
133UP,108,peak_2,9,9,240,27
134DOWN,1051,non_peak_1,4,4,480,120
134DOWN,1051,non_peak_2,10,10,300,30
134DOWN,1051,non_peak_3,5,5,180,36
134DOWN,1051,peak_1,8,8,240,30
134DOWN,1051,peak_2,8,8,240,30
134UP,1052,non_peak_1,4,4,480,120
134UP,1052,non_peak_2,10,10,300,30
134UP,1052,non_peak_3,5,5,180,36
134UP,1052,peak_1,8,8,240,30
134UP,1052,peak_2,8,8,240,30
135ADOWN,113,non_peak_1,1,1,480,480
135AUP,114,peak_1,1,1,240,240
135DOWN,111,peak_1,1,1,240,240
135UP,112,peak_2,1,1,240,240
136DOWN,115,non_peak_2,1,1,300,300
136DOWN,115,peak_1,3,3,240,80
136DOWN,115,peak_2,2,2,240,120
136UP,116,non_peak_1,1,1,480,480
136UP,116,peak_1,3,3,240,80
136UP,116,peak_2,2,2,240,120
137ADOWN,119,non_peak_1,2,2,480,240
137ADOWN,119,peak_1,1,1,240,240
137AUP,120,peak_1,3,3,240,80
137DOWN,117,non_peak_2,3,3,300,100
137DOWN,117,peak_1,1,1,240,240
137DOWN,117,peak_2,2,2,240,120
137UP,118,non_peak_1,2,2,480,240
137UP,118,non_peak_2,2,2,300,150
137UP,118,peak_2,2,2,240,120
139 ADOWN,121,non_peak_1,4,4,480,120
139 ADOWN,121,non_peak_2,10,10,300,30
139 ADOWN,121,non_peak_3,5,5,180,36
139 ADOWN,121,peak_1,8,8,240,30
139 ADOWN,121,peak_2,8,8,240,30
139 AUP,122,non_peak_1,4,4,480,120
139 AUP,122,non_peak_2,10,10,300,30
139 AUP,122,non_peak_3,5,5,180,36
139 AUP,122,peak_1,8,8,240,30
139 AUP,122,peak_2,8,8,240,30
139ADOWN,1010,non_peak_1,4,4,480,120
139ADOWN,1010,non_peak_2,10,10,300,30
139ADOWN,1010,non_peak_3,6,6,180,30
139ADOWN,1010,peak_1,8,8,240,30
139ADOWN,1010,peak_2,8,8,240,30
139AUP,1011,non_peak_1,7,7,480,69
139AUP,1011,non_peak_2,10,10,300,30
139AUP,1011,non_peak_3,3,3,180,60
139AUP,1011,peak_1,8,8,240,30
139AUP,1011,peak_2,8,8,240,30
139BDOWN,125,non_peak_1,4,4,480,120
139BDOWN,125,non_peak_2,10,10,300,30
139BDOWN,125,non_peak_3,5,5,180,36
139BDOWN,125,peak_1,8,8,240,30
139BDOWN,125,peak_2,8,8,240,30
139BUP,126,non_peak_1,4,4,480,120
139BUP,126,non_peak_2,10,10,300,30
139BUP,126,non_peak_3,5,5,180,36
139BUP,126,peak_1,8,8,240,30
139BUP,126,peak_2,8,8,240,30
139DOWN,123,non_peak_1,6,6,480,80
139DOWN,123,non_peak_2,10,10,300,30
139DOWN,123,peak_1,8,8,240,30
139DOWN,123,peak_2,8,8,240,30
139UP,124,non_peak_1,2,2,480,240
139UP,124,non_peak_2,10,10,300,30
139UP,124,non_peak_3,4,4,180,45
139UP,124,peak_1,8,8,240,30
139UP,124,peak_2,8,8,240,30
13BDOWN,127,peak_1,1,1,240,240
13BDOWN,127,peak_2,1,1,240,240
13BUP,128,non_peak_2,1,1,300,300
13BUP,128,peak_1,1,1,240,240
13DOWN,97,non_peak_1,6,6,480,80
13DOWN,97,non_peak_2,23,23,300,14
13DOWN,97,non_peak_3,11,11,180,17
13DOWN,97,peak_1,23,23,240,11
