route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
198AUP,312,peak_1,8,8,240,30
198AUP,312,peak_2,8,8,240,30
198DOWN,309,non_peak_1,4,4,480,120
198DOWN,309,non_peak_2,10,10,300,30
198DOWN,309,non_peak_3,5,5,180,36
198DOWN,309,peak_1,8,8,240,30
198DOWN,309,peak_2,8,8,240,30
198UP,310,non_peak_1,4,4,480,120
198UP,310,non_peak_2,10,10,300,30
198UP,310,non_peak_3,5,5,180,36
198UP,310,peak_1,8,8,240,30
198UP,310,peak_2,8,8,240,30
199DOWN,313,non_peak_1,9,9,480,54
199DOWN,313,non_peak_2,16,16,300,19
199DOWN,313,peak_1,14,14,240,18
199DOWN,313,peak_2,10,10,240,24
199UP,314,non_peak_1,4,4,480,120
199UP,314,non_peak_2,16,16,300,19
199UP,314,non_peak_3,3,3,180,60
199UP,314,peak_1,14,14,240,18
199UP,314,peak_2,12,12,240,20
19ADOWN,291,non_peak_1,2,2,480,240
19ADOWN,291,non_peak_2,3,3,300,100
19ADOWN,291,peak_1,2,2,240,120
19ADOWN,291,peak_2,2,2,240,120
19AUP,292,non_peak_1,1,1,480,480
19AUP,292,non_peak_2,3,3,300,100
19AUP,292,non_peak_3,1,1,180,180
19AUP,292,peak_1,2,2,240,120
19AUP,292,peak_2,2,2,240,120
19DOWN,293,non_peak_1,7,7,480,69
19DOWN,293,non_peak_2,14,14,300,22
19DOWN,293,non_peak_3,4,4,180,45
19DOWN,293,peak_1,10,10,240,24
19DOWN,293,peak_2,10,10,240,24
19UP,294,non_peak_1,5,5,480,96
19UP,294,non_peak_2,13,13,300,24
19UP,294,non_peak_3,6,6,180,30
19UP,294,peak_1,10,10,240,24
19UP,294,peak_2,11,11,240,22
1DOWN,0,non_peak_1,5,5,480,96
1DOWN,0,non_peak_2,9,9,300,34
1DOWN,0,peak_1,7,7,240,35
1DOWN,0,peak_2,7,7,240,35
1UP,1,non_peak_1,4,4,480,120
1UP,1,non_peak_2,9,9,300,34
1UP,1,peak_1,7,7,240,35
1UP,1,peak_2,8,8,240,30
200DOWN,319,non_peak_1,2,2,480,240
200DOWN,319,non_peak_2,4,4,300,75
200DOWN,319,non_peak_3,1,1,180,180
200DOWN,319,peak_1,2,2,240,120
200DOWN,319,peak_2,2,2,240,120
200UP,320,non_peak_1,2,2,480,240
200UP,320,non_peak_2,3,3,300,100
200UP,320,peak_1,3,3,240,80
200UP,320,peak_2,3,3,240,80
201DOWN,321,non_peak_1,5,5,480,96
201DOWN,321,non_peak_2,11,11,300,28
201DOWN,321,non_peak_3,7,7,180,26
201DOWN,321,peak_1,9,9,240,27
201DOWN,321,peak_2,10,10,240,24
201UP,322,non_peak_1,8,8,480,60
201UP,322,non_peak_2,11,11,300,28
201UP,322,non_peak_3,3,3,180,60
201UP,322,peak_1,9,9,240,27
201UP,322,peak_2,11,11,240,22
202DOWN,323,non_peak_1,3,3,480,160
202DOWN,323,non_peak_2,10,10,300,30
202DOWN,323,non_peak_3,3,3,180,60
202DOWN,323,peak_1,8,8,240,30
202DOWN,323,peak_2,8,8,240,30
202UP,324,non_peak_1,7,7,480,69
202UP,324,non_peak_2,10,10,300,30
202UP,324,peak_1,8,8,240,30
202UP,324,peak_2,7,7,240,35
203BDOWN,327,non_peak_2,1,1,300,300
203BDOWN,327,peak_1,1,1,240,240
203BUP,328,peak_1,2,2,240,120
203DOWN,325,non_peak_2,4,4,300,75
203DOWN,325,peak_1,6,6,240,40
203DOWN,325,peak_2,5,5,240,48
203UP,326,non_peak_1,1,1,480,480
203UP,326,non_peak_2,6,6,300,50
203UP,326,peak_1,5,5,240,48
203UP,326,peak_2,3,3,240,80
204DOWN,329,non_peak_1,5,5,480,96
204DOWN,329,non_peak_2,18,18,300,17
204DOWN,329,non_peak_3,11,11,180,17
204DOWN,329,peak_1,16,16,240,15
204DOWN,329,peak_2,15,15,240,16
204UP,330,non_peak_1,11,11,480,44
204UP,330,non_peak_2,18,18,300,17
204UP,330,non_peak_3,5,5,180,36
204UP,330,peak_1,16,16,240,15
204UP,330,peak_2,16,16,240,15
207ACDOWN,334,peak_1,1,1,240,240
207ACUP,335,peak_1,1,1,240,240
207ACUP,335,peak_2,1,1,240,240
207ADOWN,336,non_peak_1,5,5,480,96
207ADOWN,336,non_peak_2,18,18,300,17
207ADOWN,336,non_peak_3,7,7,180,26
207ADOWN,336,peak_1,15,15,240,16
207ADOWN,336,peak_2,14,14,240,18
207AUP,337,non_peak_1,14,14,480,35
207AUP,337,non_peak_2,21,21,300,15
207AUP,337,non_peak_3,4,4,180,45
207AUP,337,peak_1,14,14,240,18
207AUP,337,peak_2,11,11,240,22
207DOWN,331,non_peak_1,4,4,480,120
207DOWN,331,non_peak_2,3,3,300,100
207DOWN,331,peak_1,5,5,240,48
207DOWN,331,peak_2,5,5,240,48
207DUP,332,peak_2,1,1,240,240
207KDOWN,338,non_peak_1,4,4,480,120
207KDOWN,338,non_peak_2,10,10,300,30
207KDOWN,338,non_peak_3,5,5,180,36
207KDOWN,338,peak_1,8,8,240,30
207KDOWN,338,peak_2,8,8,240,30
207KUP,339,non_peak_1,4,4,480,120
207KUP,339,non_peak_2,10,10,300,30
207KUP,339,non_peak_3,5,5,180,36
207KUP,339,peak_1,8,8,240,30
207KUP,339,peak_2,8,8,240,30
207NDOWN,340,non_peak_1,4,4,480,120
207NDOWN,340,non_peak_2,10,10,300,30
207NDOWN,340,non_peak_3,5,5,180,36
207NDOWN,340,peak_1,8,8,240,30
207NDOWN,340,peak_2,8,8,240,30
207NUP,341,non_peak_1,4,4,480,120
207NUP,341,non_peak_2,10,10,300,30
207NUP,341,non_peak_3,5,5,180,36
207NUP,341,peak_1,8,8,240,30
207NUP,341,peak_2,8,8,240,30
207UP,333,non_peak_1,1,1,480,480
207UP,333,non_peak_2,2,2,300,150
207UP,333,peak_1,6,6,240,40
207UP,333,peak_2,4,4,240,60
208DOWN,342,non_peak_1,1,1,480,480
208DOWN,342,non_peak_2,4,4,300,75
208DOWN,342,non_peak_3,1,1,180,180
208DOWN,342,peak_1,4,4,240,60
208DOWN,342,peak_2,4,4,240,60
208UP,343,non_peak_1,3,3,480,160
208UP,343,non_peak_2,4,4,300,75
208UP,343,peak_1,4,4,240,60
208UP,343,peak_2,3,3,240,80
209ADOWN,348,non_peak_1,1,1,480,480
209ADOWN,348,peak_1,2,2,240,120
209ADOWN,348,peak_2,1,1,240,240
209AUP,349,non_peak_1,2,2,480,240
209AUP,349,peak_1,1,1,240,240
209AUP,349,peak_2,1,1,240,240
209BDOWN,344,non_peak_1,1,1,480,480
209BDOWN,344,non_peak_2,2,2,300,150
209BDOWN,344,peak_1,1,1,240,240
209BDOWN,344,peak_2,1,1,240,240
209BUP,345,non_peak_1,1,1,480,480
209BUP,345,non_peak_2,2,2,300,150
209BUP,345,peak_1,1,1,240,240
209BUP,345,peak_2,1,1,240,240
209DOWN,346,non_peak_1,6,6,480,80
209DOWN,346,non_peak_2,16,16,300,19
209DOWN,346,non_peak_3,7,7,180,26
209DOWN,346,peak_1,13,13,240,19
209DOWN,346,peak_2,12,12,240,20
209UP,347,non_peak_1,10,10,480,48
209UP,347,non_peak_2,16,16,300,19
209UP,347,non_peak_3,3,3,180,60
209UP,347,peak_1,12,12,240,20
209UP,347,peak_2,13,13,240,19
20ADOWN,350,non_peak_2,1,1,300,300
20ADOWN,350,peak_2,1,1,240,240
20AUP,351,non_peak_1,1,1,480,480
20DOWN,317,peak_1,2,2,240,120
20UP,318,non_peak_2,1,1,300,300
20UP,318,peak_1,1,1,240,240
20UP,318,peak_2,1,1,240,240
210DOWN,354,non_peak_2,6,6,300,50
210DOWN,354,peak_1,5,5,240,48
210DOWN,354,peak_2,4,4,240,60
210UP,355,non_peak_1,1,1,480,480
210UP,355,non_peak_2,6,6,300,50
210UP,355,peak_1,5,5,240,48
210UP,355,peak_2,3,3,240,80
211DOWN,356,non_peak_2,1,1,300,300
211DOWN,356,peak_1,1,1,240,240
211UP,357,non_peak_1,1,1,480,480
211UP,357,non_peak_2,1,1,300,300
211UP,357,peak_1,1,1,240,240
211UP,357,peak_2,1,1,240,240
212DOWN,358,non_peak_1,1,1,480,480
212DOWN,358,peak_1,1,1,240,240
212DOWN,358,peak_2,1,1,240,240
212UP,359,non_peak_2,1,1,300,300
212UP,359,peak_1,1,1,240,240
212UP,359,peak_2,1,1,240,240
213ADOWN,1064,non_peak_1,4,4,480,120
213ADOWN,1064,non_peak_2,10,10,300,30
213ADOWN,1064,non_peak_3,5,5,180,36
213ADOWN,1064,peak_1,8,8,240,30
213ADOWN,1064,peak_2,8,8,240,30
213AUP,1065,non_peak_1,4,4,480,120
213AUP,1065,non_peak_2,10,10,300,30
213AUP,1065,non_peak_3,5,5,180,36
213AUP,1065,peak_1,8,8,240,30
213AUP,1065,peak_2,8,8,240,30
213DOWN,1066,non_peak_1,4,4,480,120
213DOWN,1066,non_peak_2,10,10,300,30
213DOWN,1066,non_peak_3,5,5,180,36
213DOWN,1066,peak_1,8,8,240,30
213DOWN,1066,peak_2,8,8,240,30
213UP,1067,non_peak_1,4,4,480,120
213UP,1067,non_peak_2,10,10,300,30
213UP,1067,non_peak_3,5,5,180,36
213UP,1067,peak_1,8,8,240,30
213UP,1067,peak_2,8,8,240,30
214DOWN,360,non_peak_1,1,1,480,480
214DOWN,360,non_peak_2,6,6,300,50
214DOWN,360,peak_1,8,8,240,30
214DOWN,360,peak_2,7,7,240,35
214UP,361,non_peak_1,2,2,480,240
214UP,361,non_peak_2,5,5,300,60
214UP,361,peak_1,9,9,240,27
214UP,361,peak_2,6,6,240,40
215DOWN,362,non_peak_1,2,2,480,240
215DOWN,362,non_peak_2,5,5,300,60
215DOWN,362,non_peak_3,2,2,180,90
215DOWN,362,peak_1,5,5,240,48
215DOWN,362,peak_2,6,6,240,40
215UP,363,non_peak_1,3,3,480,160
215UP,363,non_peak_2,5,5,300,60
215UP,363,non_peak_3,2,2,180,90
215UP,363,peak_1,5,5,240,48
215UP,363,peak_2,5,5,240,48
216ADOWN,364,peak_2,1,1,240,240
216AUP,365,peak_1,1,1,240,240
216BDOWN,366,peak_1,1,1,240,240
216BUP,367,non_peak_2,1,1,300,300
216DOWN,368,non_peak_1,4,4,480,120
216DOWN,368,non_peak_2,12,12,300,25
216DOWN,368,non_peak_3,4,4,180,45
216DOWN,368,peak_1,11,11,240,22
216DOWN,368,peak_2,10,10,240,24
216UP,369,non_peak_1,7,7,480,69
216UP,369,non_peak_2,14,14,300,22
216UP,369,non_peak_3,3,3,180,60
216UP,369,peak_1,9,9,240,27
216UP,369,peak_2,8,8,240,30
21ADOWN,370,non_peak_1,1,1,480,480
21ADOWN,370,non_peak_2,2,2,300,150
21ADOWN,370,non_peak_3,1,1,180,180
21ADOWN,370,peak_1,1,1,240,240
21ADOWN,370,peak_2,1,1,240,240
21AUP,371,non_peak_1,1,1,480,480
21AUP,371,non_peak_2,1,1,300,300
21AUP,371,peak_1,2,2,240,120
21AUP,371,peak_2,2,2,240,120
21DOWN,352,non_peak_1,4,4,480,120
21DOWN,352,non_peak_2,10,10,300,30
21DOWN,352,non_peak_3,4,4,180,45
21DOWN,352,peak_1,10,10,240,24
21DOWN,352,peak_2,10,10,240,24
21UP,353,non_peak_1,8,8,480,60
21UP,353,non_peak_2,10,10,300,30
21UP,353,non_peak_3,2,2,180,90
21UP,353,peak_1,10,10,240,24
21UP,353,peak_2,8,8,240,30
221DOWN,1068,non_peak_1,4,4,480,120
221DOWN,1068,non_peak_2,10,10,300,30
221DOWN,1068,non_peak_3,5,5,180,36
221DOWN,1068,peak_1,8,8,240,30
221DOWN,1068,peak_2,8,8,240,30
221UP,1069,non_peak_1,4,4,480,120
221UP,1069,non_peak_2,10,10,300,30
221UP,1069,non_peak_3,5,5,180,36
221UP,1069,peak_1,8,8,240,30
221UP,1069,peak_2,8,8,240,30
225DOWN,372,peak_1,2,2,240,120
225DOWN,372,peak_2,2,2,240,120
225UP,373,non_peak_1,2,2,480,240
225UP,373,non_peak_2,1,1,300,300
225UP,373,peak_1,1,1,240,240
225UP,373,peak_2,1,1,240,240
226ADOWN,376,peak_2,1,1,240,240
226AUP,377,non_peak_1,4,4,480,120
226AUP,377,non_peak_2,10,10,300,30
226AUP,377,non_peak_3,5,5,180,36
226AUP,377,peak_1,8,8,240,30
226AUP,377,peak_2,8,8,240,30
226DOWN,374,non_peak_2,1,1,300,300
226DOWN,374,peak_1,1,1,240,240
226UP,375,non_peak_1,1,1,480,480
226UP,375,non_peak_2,1,1,300,300
226UP,375,peak_1,1,1,240,240
227ABDOWN,380,non_peak_1,1,1,480,480
227ABDOWN,380,peak_2,2,2,240,120
227ABUP,381,non_peak_2,1,1,300,300
227ABUP,381,peak_2,2,2,240,120
227ADOWN,382,non_peak_1,1,1,480,480
227ADOWN,382,non_peak_2,2,2,300,150
227ADOWN,382,peak_1,3,3,240,80
227AUP,383,non_peak_1,1,1,480,480
227AUP,383,non_peak_2,1,1,300,300
227AUP,383,peak_1,3,3,240,80
227AUP,383,peak_2,1,1,240,240
227DOWN,378,non_peak_1,1,1,480,480
227DOWN,378,non_peak_2,1,1,300,300
227DOWN,378,peak_1,1,1,240,240
227DOWN,378,peak_2,1,1,240,240
227UP,379,non_peak_1,1,1,480,480
227UP,379,non_peak_2,1,1,300,300
227UP,379,peak_1,1,1,240,240
227UP,379,peak_2,1,1,240,240
228ADOWN,384,non_peak_3,1,1,180,180
228ADOWN,384,peak_2,2,2,240,120
228AUP,385,non_peak_1,3,3,480,160
228BDOWN,386,non_peak_1,3,3,480,160
228BUP,387,non_peak_3,1,1,180,180
228BUP,387,peak_2,2,2,240,120
228DOWN,388,non_peak_1,3,3,480,160
228DOWN,388,non_peak_2,8,8,300,38
228DOWN,388,peak_1,5,5,240,48
228DOWN,388,peak_2,3,3,240,80
228JDOWN,390,non_peak_1,4,4,480,120
228JDOWN,390,non_peak_2,10,10,300,30
228JDOWN,390,non_peak_3,5,5,180,36
228JDOWN,390,peak_1,8,8,240,30
228JDOWN,390,peak_2,8,8,240,30
228JUP,391,non_peak_1,4,4,480,120
228JUP,391,non_peak_2,10,10,300,30
228JUP,391,non_peak_3,5,5,180,36
228JUP,391,peak_1,8,8,240,30
228JUP,391,peak_2,8,8,240,30
228SDOWN,392,non_peak_1,4,4,480,120
228SDOWN,392,non_peak_2,10,10,300,30
228SDOWN,392,non_peak_3,5,5,180,36
228SDOWN,392,peak_1,8,8,240,30
228SDOWN,392,peak_2,8,8,240,30
228SUP,393,non_peak_1,4,4,480,120
228SUP,393,non_peak_2,10,10,300,30
228SUP,393,non_peak_3,5,5,180,36
228SUP,393,peak_1,8,8,240,30
228SUP,393,peak_2,8,8,240,30
228UP,389,non_peak_1,3,3,480,160
228UP,389,non_peak_2,7,7,300,43
228UP,389,peak_1,5,5,240,48
228UP,389,peak_2,4,4,240,60
231BDOWN,394,non_peak_1,1,1,480,480
231BDOWN,394,peak_1,1,1,240,240
231BUP,395,peak_1,2,2,240,120
231DOWN,396,non_peak_2,1,1,300,300
231DOWN,396,peak_2,1,1,240,240
231UP,397,non_peak_1,1,1,480,480
231UP,397,non_peak_2,1,1,300,300
232DOWN,398,non_peak_1,1,1,480,480
232DOWN,398,non_peak_2,2,2,300,150
232UP,399,non_peak_2,1,1,300,300
232UP,399,peak_1,1,1,240,240
232UP,399,peak_2,1,1,240,240
233ADOWN,402,non_peak_1,1,1,480,480
233ADOWN,402,non_peak_2,3,3,300,100
233ADOWN,402,non_peak_3,1,1,180,180
233ADOWN,402,peak_1,3,3,240,80
233ADOWN,402,peak_2,2,2,240,120
233AUP,403,non_peak_1,2,2,480,240
233AUP,403,non_peak_2,3,3,300,100
233AUP,403,peak_1,3,3,240,80
233AUP,403,peak_2,2,2,240,120
233BDOWN,404,non_peak_1,1,1,480,480
233BDOWN,404,non_peak_2,1,1,300,300
233BDOWN,404,peak_1,1,1,240,240
233BUP,405,non_peak_2,1,1,300,300
233BUP,405,peak_1,1,1,240,240
233BUP,405,peak_2,1,1,240,240
233DOWN,400,non_peak_1,3,3,480,160
233DOWN,400,non_peak_2,7,7,300,43
233DOWN,400,non_peak_3,2,2,180,90
233DOWN,400,peak_1,7,7,240,35
233DOWN,400,peak_2,7,7,240,35
233UP,401,non_peak_1,4,4,480,120
233UP,401,non_peak_2,9,9,300,34
233UP,401,non_peak_3,2,2,180,90
233UP,401,peak_1,6,6,240,40
233UP,401,peak_2,5,5,240,48
234DOWN,406,non_peak_1,6,6,480,80
234DOWN,406,non_peak_2,15,15,300,20
234DOWN,406,non_peak_3,9,9,180,20
234DOWN,406,peak_1,12,12,240,20
234DOWN,406,peak_2,10,10,240,24
234UP,407,non_peak_1,9,9,480,54
234UP,407,non_peak_2,15,15,300,20
234UP,407,non_peak_3,4,4,180,45
234UP,407,peak_1,13,13,240,19
234UP,407,peak_2,11,11,240,22
235DOWN,408,non_peak_1,6,6,480,80
235DOWN,408,non_peak_2,14,14,300,22
235DOWN,408,non_peak_3,7,7,180,26
235DOWN,408,peak_1,13,13,240,19
235DOWN,408,peak_2,10,10,240,24
235UP,409,non_peak_1,10,10,480,48
235UP,409,non_peak_2,14,14,300,22
235UP,409,non_peak_3,4,4,180,45
235UP,409,peak_1,12,12,240,20
235UP,409,peak_2,10,10,240,24
236DOWN,410,non_peak_1,6,6,480,80
236DOWN,410,non_peak_2,7,7,300,43
236DOWN,410,non_peak_3,1,1,180,180
236DOWN,410,peak_1,7,7,240,35
236DOWN,410,peak_2,7,7,240,35
236UP,411,non_peak_1,3,3,480,160
236UP,411,non_peak_2,8,8,300,38
236UP,411,non_peak_3,5,5,180,36
236UP,411,peak_1,6,6,240,40
236UP,411,peak_2,6,6,240,40
24ADOWN,414,non_peak_1,3,3,480,160
24ADOWN,414,non_peak_2,15,15,300,20
24ADOWN,414,non_peak_3,7,7,180,26
24ADOWN,414,peak_1,20,20,240,12
24ADOWN,414,peak_2,18,18,240,14
24AUP,415,non_peak_1,11,11,480,44
24AUP,415,non_peak_2,17,17,300,18
24AUP,415,peak_1,16,16,240,15
24AUP,415,peak_2,19,19,240,13
24BDOWN,416,non_peak_1,9,9,480,54
24BDOWN,416,non_peak_2,7,7,300,43
24BDOWN,416,peak_2,2,2,240,120
24BUP,417,non_peak_2,3,3,300,100
24BUP,417,non_peak_3,5,5,180,36
24BUP,417,peak_1,6,6,240,40
24BUP,417,peak_2,4,4,240,60
24DOWN,412,non_peak_1,5,5,480,96
24DOWN,412,non_peak_2,13,13,300,24
24DOWN,412,non_peak_3,5,5,180,36
24DOWN,412,peak_1,11,11,240,22
24DOWN,412,peak_2,10,10,240,24
24UP,413,non_peak_1,7,7,480,69
24UP,413,non_peak_2,13,13,300,24
24UP,413,non_peak_3,4,4,180,45
24UP,413,peak_1,11,11,240,22
24UP,413,peak_2,9,9,240,27
256ADOWN,420,non_peak_1,1,1,480,480
256ADOWN,420,peak_2,1,1,240,240
256AUP,421,non_peak_1,1,1,480,480
256AUP,421,peak_2,1,1,240,240
256DOWN,418,non_peak_1,9,9,480,54
256DOWN,418,non_peak_2,18,18,300,17
256DOWN,418,peak_1,13,13,240,19
256DOWN,418,peak_2,14,14,240,18
256UP,419,non_peak_1,8,8,480,60
256UP,419,non_peak_2,18,18,300,17
256UP,419,non_peak_3,5,5,180,36
256UP,419,peak_1,15,15,240,16
256UP,419,peak_2,14,14,240,18
257ADOWN,424,non_peak_1,2,2,480,240
257ADOWN,424,non_peak_2,4,4,300,75
257ADOWN,424,non_peak_3,1,1,180,180
257ADOWN,424,peak_1,3,3,240,80
257ADOWN,424,peak_2,2,2,240,120
257AUP,425,non_peak_1,2,2,480,240
257AUP,425,non_peak_2,3,3,300,100
257AUP,425,peak_1,4,4,240,60
257AUP,425,peak_2,3,3,240,80
257DOWN,422,non_peak_1,3,3,480,160
257DOWN,422,non_peak_2,6,6,300,50
257DOWN,422,peak_1,5,5,240,48
257DOWN,422,peak_2,4,4,240,60
257UP,423,non_peak_1,2,2,480,240
257UP,423,non_peak_2,6,6,300,50
257UP,423,peak_1,5,5,240,48
257UP,423,peak_2,5,5,240,48
258DOWN,426,non_peak_1,1,1,480,480
258DOWN,426,non_peak_2,3,3,300,100
258DOWN,426,peak_1,3,3,240,80
258DOWN,426,peak_2,2,2,240,120
258UP,427,non_peak_2,2,2,300,150
258UP,427,peak_1,4,4,240,60
258UP,427,peak_2,3,3,240,80
259DOWN,428,peak_1,2,2,240,120
259DOWN,428,peak_2,2,2,240,120
259UP,429,peak_1,2,2,240,120
259UP,429,peak_2,2,2,240,120
262ADOWN,434,non_peak_1,4,4,480,120
262ADOWN,434,non_peak_2,10,10,300,30
262ADOWN,434,non_peak_3,5,5,180,36
262ADOWN,434,peak_1,8,8,240,30
262ADOWN,434,peak_2,8,8,240,30
262AUP,435,non_peak_1,2,2,480,240
262DOWN,432,non_peak_1,1,1,480,480
262DOWN,432,non_peak_2,1,1,300,300
262DOWN,432,non_peak_3,1,1,180,180
262DOWN,432,peak_1,3,3,240,80
262DOWN,432,peak_2,2,2,240,120
262UP,433,non_peak_2,2,2,300,150
262UP,433,peak_1,2,2,240,120
262UP,433,peak_2,2,2,240,120
264DOWN,436,non_peak_1,1,1,480,480
264UP,437,peak_2,1,1,240,240
26DOWN,430,non_peak_1,3,3,480,160
26DOWN,430,non_peak_2,4,4,300,75
26DOWN,430,peak_1,3,3,240,80
26DOWN,430,peak_2,3,3,240,80
26UP,431,non_peak_1,2,2,480,240
26UP,431,non_peak_2,4,4,300,75
26UP,431,non_peak_3,1,1,180,180
26UP,431,peak_1,3,3,240,80
26UP,431,peak_2,3,3,240,80
276ADOWN,438,non_peak_1,4,4,480,120
276ADOWN,438,non_peak_2,10,10,300,30
276ADOWN,438,peak_1,11,11,240,22
276ADOWN,438,peak_2,6,6,240,40
276AUP,439,non_peak_2,3,3,300,100
276AUP,439,non_peak_3,1,1,180,180
276AUP,439,peak_1,13,13,240,19
276AUP,439,peak_2,15,15,240,16
276BUP,442,non_peak_1,1,1,480,480
276CDOWN,443,non_peak_1,4,4,480,120
276CDOWN,443,non_peak_2,10,10,300,30
276CDOWN,443,non_peak_3,5,5,180,36
276CDOWN,443,peak_1,8,8,240,30
276CDOWN,443,peak_2,8,8,240,30
276DOWN,440,non_peak_1,1,1,480,480
276DOWN,440,non_peak_2,10,10,300,30
276DOWN,440,non_peak_3,6,6,180,30
276DOWN,440,peak_1,5,5,240,48
276DOWN,440,peak_2,10,10,240,24
276UP,441,non_peak_1,10,10,480,48
276UP,441,non_peak_2,15,15,300,20
276UP,441,non_peak_3,1,1,180,180
276UP,441,peak_1,5,5,240,48
277DOWN,444,non_peak_1,2,2,480,240
277DOWN,444,non_peak_2,5,5,300,60
277DOWN,444,peak_1,4,4,240,60
277DOWN,444,peak_2,4,4,240,60
277UP,445,non_peak_1,1,1,480,480
277UP,445,non_peak_2,5,5,300,60
277UP,445,non_peak_3,1,1,180,180
277UP,445,peak_1,4,4,240,60
277UP,445,peak_2,4,4,240,60
279DOWN,446,non_peak_1,1,1,480,480
279DOWN,446,non_peak_2,1,1,300,300
279DOWN,446,peak_1,1,1,240,240
279UP,447,non_peak_2,1,1,300,300
279UP,447,peak_1,1,1,240,240
279UP,447,peak_2,1,1,240,240
281DOWN,450,non_peak_1,5,5,480,96
281DOWN,450,non_peak_2,11,11,300,28
281DOWN,450,non_peak_3,2,2,180,90
281DOWN,450,peak_1,7,7,240,35
281DOWN,450,peak_2,7,7,240,35
281UP,451,non_peak_1,4,4,480,120
281UP,451,non_peak_2,10,10,300,30
281UP,451,non_peak_3,2,2,180,90
281UP,451,peak_1,8,8,240,30
281UP,451,peak_2,8,8,240,30
282DOWN,452,non_peak_1,1,1,480,480
282DOWN,452,non_peak_2,10,10,300,30
282DOWN,452,non_peak_3,5,5,180,36
282DOWN,452,peak_1,8,8,240,30
282DOWN,452,peak_2,8,8,240,30
282UP,453,non_peak_1,5,5,480,96
282UP,453,non_peak_2,10,10,300,30
282UP,453,non_peak_3,1,1,180,180
282UP,453,peak_1,8,8,240,30
282UP,453,peak_2,8,8,240,30
283DOWN,454,non_peak_2,1,1,300,300
283DOWN,454,peak_1,2,2,240,120
283DOWN,454,peak_2,1,1,240,240
283UP,455,non_peak_1,1,1,480,480
283UP,455,non_peak_2,1,1,300,300
283UP,455,peak_1,1,1,240,240
283UP,455,peak_2,1,1,240,240
28DOWN,448,non_peak_2,1,1,300,300
28DOWN,448,peak_1,2,2,240,120
28DOWN,448,peak_2,2,2,240,120
28UP,449,non_peak_1,1,1,480,480
28UP,449,non_peak_2,2,2,300,150
28UP,449,peak_1,1,1,240,240
28UP,449,peak_2,1,1,240,240
290ADOWN,458,non_peak_1,6,6,480,80
290ADOWN,458,non_peak_2,6,6,300,50
290AUP,459,non_peak_2,6,6,300,50
290AUP,459,non_peak_3,6,6,180,30
290DOWN,460,non_peak_1,5,5,480,96
290DOWN,460,non_peak_2,15,15,300,20
290DOWN,460,non_peak_3,5,5,180,36
290DOWN,460,peak_1,12,12,240,20
290DOWN,460,peak_2,11,11,240,22
290UP,461,non_peak_1,8,8,480,60
290UP,461,non_peak_2,15,15,300,20
290UP,461,non_peak_3,2,2,180,90
290UP,461,peak_1,12,12,240,20
290UP,461,peak_2,11,11,240,22
291DOWN,462,non_peak_1,14,14,480,35
291DOWN,462,non_peak_2,31,31,300,10
291DOWN,462,non_peak_3,5,5,180,36
291DOWN,462,peak_1,22,22,240,11
291DOWN,462,peak_2,22,22,240,11
291UP,463,non_peak_1,8,8,480,60
291UP,463,non_peak_2,31,31,300,10
291UP,463,non_peak_3,10,10,180,18
291UP,463,peak_1,23,23,240,11
291UP,463,peak_2,22,22,240,11
292ADOWN,464,non_peak_1,1,1,480,480
292ADOWN,464,non_peak_2,4,4,300,75
292ADOWN,464,peak_1,4,4,240,60
292ADOWN,464,peak_2,4,4,240,60
292AUP,465,non_peak_1,2,2,480,240
292AUP,465,non_peak_2,4,4,300,75
292AUP,465,non_peak_3,1,1,180,180
292AUP,465,peak_1,3,3,240,80
292AUP,465,peak_2,3,3,240,80
292BDOWN,466,non_peak_1,1,1,480,480
292BDOWN,466,peak_2,1,1,240,240
292BUP,467,non_peak_1,1,1,480,480
292BUP,467,peak_2,1,1,240,240
292CDOWN,468,non_peak_1,1,1,480,480
292CDOWN,468,non_peak_2,2,2,300,150
292CDOWN,468,peak_1,1,1,240,240
292CDOWN,468,peak_2,1,1,240,240
292CUP,469,non_peak_1,1,1,480,480
292CUP,469,non_peak_2,1,1,300,300
292CUP,469,peak_1,2,2,240,120
292CUP,469,peak_2,1,1,240,240
292DDOWN,471,non_peak_1,1,1,480,480
292DDOWN,471,peak_2,1,1,240,240
292DOWN,470,non_peak_2,2,2,300,150
292DOWN,470,non_peak_3,2,2,180,90
292DOWN,470,peak_1,3,3,240,80
292DUP,472,non_peak_1,1,1,480,480
292DUP,472,non_peak_2,1,1,300,300
292UP,473,non_peak_1,1,1,480,480
292UP,473,non_peak_2,2,2,300,150
292UP,473,peak_1,2,2,240,120
292UP,473,peak_2,2,2,240,120
293DOWN,474,non_peak_1,1,1,480,480
293DOWN,474,non_peak_2,2,2,300,150
293DOWN,474,peak_1,2,2,240,120
293DOWN,474,peak_2,2,2,240,120
293UP,475,non_peak_1,1,1,480,480
293UP,475,non_peak_2,2,2,300,150
293UP,475,peak_1,2,2,240,120
293UP,475,peak_2,2,2,240,120
294RING,476,non_peak_1,3,3,480,160
294RING,476,non_peak_2,6,6,300,50
294RING,476,peak_1,5,5,240,48
294RING,476,peak_2,4,4,240,60
295RING,477,non_peak_1,3,3,480,160
295RING,477,non_peak_2,6,6,300,50
295RING,477,non_peak_3,1,1,180,180
