route_id,time_category,counts,counts_average,time_category_duration,frequency
88,peak_2,2,2,240,120
89,non_peak_1,2,2,480,240
89,non_peak_2,3,3,300,100
89,peak_1,2,2,240,120
89,peak_2,1,1,240,240
90,non_peak_1,2,2,480,240
90,non_peak_2,5,5,300,60
90,peak_1,5,5,240,48
90,peak_2,6,6,240,40
91,non_peak_1,2,2,480,240
91,non_peak_2,5,5,300,60
91,peak_1,5,5,240,48
91,peak_2,6,6,240,40
92,non_peak_1,1,1,480,480
92,non_peak_2,2,2,300,150
92,peak_1,4,4,240,60
92,peak_2,3,3,240,80
93,non_peak_2,3,3,300,100
93,peak_1,1,1,240,240
93,peak_2,1,1,240,240
94,non_peak_1,2,2,480,240
94,non_peak_2,6,6,300,50
94,peak_1,4,4,240,60
94,peak_2,4,4,240,60
95,non_peak_1,2,2,480,240
95,non_peak_2,6,6,300,50
95,peak_1,4,4,240,60
95,peak_2,5,5,240,48
96,non_peak_1,2,2,480,240
96,non_peak_2,6,6,300,50
96,peak_1,4,4,240,60
96,peak_2,2,2,240,120
97,non_peak_2,2,2,300,150
97,peak_1,2,2,240,120
97,peak_2,2,2,240,120
98,non_peak_2,2,2,300,150
98,peak_1,3,3,240,80
99,non_peak_1,2,2,480,240
99,non_peak_2,2,2,300,150
99,peak_1,2,2,240,120
100,non_peak_1,1,1,480,480
100,non_peak_2,2,2,300,150
100,peak_1,3,3,240,80
100,peak_2,2,2,240,120
101,non_peak_1,2,2,480,240
101,non_peak_2,4,4,300,75
101,peak_1,2,2,240,120
102,non_peak_1,1,1,480,480
102,non_peak_2,2,2,300,150
102,peak_1,3,3,240,80
102,peak_2,2,2,240,120
103,non_peak_1,2,2,480,240
103,non_peak_2,3,3,300,100
103,peak_1,2,2,240,120
103,peak_2,1,1,240,240
104,non_peak_1,2,2,480,240
104,non_peak_2,4,4,300,75
104,peak_1,5,5,240,48
104,peak_2,5,5,240,48
105,non_peak_1,3,3,480,160
105,non_peak_2,4,4,300,75
105,peak_1,5,5,240,48
105,peak_2,4,4,240,60
106,non_peak_1,3,3,480,160
106,non_peak_2,4,4,300,75
106,peak_1,2,2,240,120
107,non_peak_1,3,3,480,160
107,non_peak_2,3,3,300,100
107,peak_1,2,2,240,120
107,peak_2,1,1,240,240
108,non_peak_1,1,1,480,480
108,non_peak_2,2,2,300,150
108,peak_1,3,3,240,80
108,peak_2,2,2,240,120
109,non_peak_1,1,1,480,480
109,non_peak_2,3,3,300,100
109,peak_1,3,3,240,80
109,peak_2,2,2,240,120
110,non_peak_1,2,2,480,240
110,non_peak_2,6,6,300,50
110,peak_1,6,6,240,40
110,peak_2,6,6,240,40
111,non_peak_1,3,3,480,160
111,non_peak_2,6,6,300,50
111,peak_1,6,6,240,40
111,peak_2,5,5,240,48
112,non_peak_1,2,2,480,240
112,non_peak_2,5,5,300,60
112,peak_1,3,3,240,80
112,peak_2,3,3,240,80
113,non_peak_1,2,2,480,240
113,non_peak_2,5,5,300,60
113,peak_1,3,3,240,80
113,peak_2,3,3,240,80
114,non_peak_1,2,2,480,240
114,non_peak_2,5,5,300,60
114,peak_1,5,5,240,48
114,peak_2,6,6,240,40
115,non_peak_1,1,1,480,480
115,non_peak_2,5,5,300,60
115,non_peak_3,1,1,180,180
115,peak_1,5,5,240,48
115,peak_2,6,6,240,40
116,non_peak_1,4,4,480,120
116,non_peak_2,1,1,300,300
116,peak_1,2,2,240,120
116,peak_2,1,1,240,240
117,non_peak_1,3,3,480,160
117,non_peak_2,1,1,300,300
117,peak_1,2,2,240,120
117,peak_2,2,2,240,120
118,non_peak_1,2,2,480,240
118,non_peak_2,4,4,300,75
118,peak_1,3,3,240,80
118,peak_2,2,2,240,120
119,non_peak_1,2,2,480,240
119,non_peak_2,5,5,300,60
119,peak_1,3,3,240,80
119,peak_2,1,1,240,240
120,non_peak_1,2,2,480,240
120,non_peak_2,3,3,300,100
120,peak_1,1,1,240,240
120,peak_2,1,1,240,240
121,non_peak_1,2,2,480,240
121,non_peak_2,4,4,300,75
121,peak_1,1,1,240,240
122,non_peak_1,1,1,480,480
122,non_peak_2,3,3,300,100
122,peak_1,3,3,240,80
122,peak_2,1,1,240,240
123,non_peak_1,2,2,480,240
123,non_peak_2,4,4,300,75
123,peak_1,2,2,240,120
124,non_peak_1,4,4,480,120
124,non_peak_2,10,10,300,30
124,non_peak_3,5,5,180,36
124,peak_1,8,8,240,30
124,peak_2,8,8,240,30
125,non_peak_1,4,4,480,120
125,non_peak_2,10,10,300,30
125,non_peak_3,5,5,180,36
125,peak_1,8,8,240,30
125,peak_2,8,8,240,30
126,non_peak_1,2,2,480,240
126,non_peak_2,4,4,300,75
126,non_peak_3,2,2,180,90
126,peak_1,4,4,240,60
126,peak_2,4,4,240,60
127,non_peak_1,2,2,480,240
127,non_peak_2,4,4,300,75
127,non_peak_3,2,2,180,90
127,peak_1,4,4,240,60
127,peak_2,4,4,240,60
128,non_peak_1,4,4,480,120
128,non_peak_2,10,10,300,30
128,non_peak_3,5,5,180,36
128,peak_1,8,8,240,30
128,peak_2,8,8,240,30
129,non_peak_1,4,4,480,120
129,non_peak_2,10,10,300,30
129,non_peak_3,5,5,180,36
129,peak_1,8,8,240,30
129,peak_2,8,8,240,30
130,non_peak_1,4,4,480,120
130,non_peak_2,10,10,300,30
130,non_peak_3,5,5,180,36
130,peak_1,8,8,240,30
130,peak_2,8,8,240,30
131,non_peak_1,4,4,480,120
131,non_peak_2,10,10,300,30
131,non_peak_3,5,5,180,36
131,peak_1,8,8,240,30
131,peak_2,8,8,240,30
132,non_peak_1,2,2,480,240
132,non_peak_2,7,7,300,43
132,peak_1,6,6,240,40
132,peak_2,5,5,240,48
133,non_peak_1,2,2,480,240
133,non_peak_2,7,7,300,43
133,peak_1,6,6,240,40
133,peak_2,5,5,240,48
134,non_peak_1,4,4,480,120
134,non_peak_2,10,10,300,30
134,non_peak_3,5,5,180,36
134,peak_1,8,8,240,30
134,peak_2,8,8,240,30
135,non_peak_1,4,4,480,120
135,non_peak_2,10,10,300,30
135,non_peak_3,5,5,180,36
135,peak_1,8,8,240,30
135,peak_2,8,8,240,30
136,non_peak_1,4,4,480,120
136,non_peak_2,10,10,300,30
136,non_peak_3,5,5,180,36
136,peak_1,8,8,240,30
136,peak_2,8,8,240,30
137,non_peak_1,4,4,480,120
137,non_peak_2,10,10,300,30
137,non_peak_3,5,5,180,36
137,peak_1,8,8,240,30
137,peak_2,8,8,240,30
138,non_peak_1,4,4,480,120
138,non_peak_2,10,10,300,30
138,non_peak_3,5,5,180,36
138,peak_1,8,8,240,30
138,peak_2,8,8,240,30
139,non_peak_1,2,2,480,240
139,non_peak_2,3,3,300,100
139,peak_1,3,3,240,80
139,peak_2,2,2,240,120
140,non_peak_1,4,4,480,120
140,non_peak_2,10,10,300,30
140,non_peak_3,5,5,180,36
140,peak_1,8,8,240,30
140,peak_2,8,8,240,30
141,non_peak_1,4,4,480,120
141,non_peak_2,10,10,300,30
141,non_peak_3,5,5,180,36
141,peak_1,8,8,240,30
141,peak_2,8,8,240,30
142,non_peak_1,4,4,480,120
142,non_peak_2,10,10,300,30
